BERT_NIC (fine-tuned),,,,,BERT_SAT (fine-tuned),,
Seed,LIC_M,LIC_D,LIC,,LIC_M,LIC_D,LIC
0,"46,19","46,96","-0,77",,"48,76","46,54","2,22"
12,"48,76","48,85","-0,09",,"47,95","48,37","-0,42"
100,"44,29","48,14","-3,85",,"46,4","47,86","-1,46"
200,"50,41","48,99","1,42",,"47,89","47,89",0
300,"45,26","48,48","-3,22",,"46,42","48,58","-2,16"
400,"47,85","45,52","2,33",,"47,18","44,28","2,9"
456,"45,24","48,82","-3,58",,"46,32","49,12","-2,8"
500,"49,12","48,44","0,68",,"51,02","47,72","3,3"
789,"47,39","47,52","-0,13",,49,"47,55","1,45"
1234,"48,67","48,28","0,39",,"48,65","47,92","0,73"
,,,,,,,
Average,"47,318",48,"-0,682",,"47,959","47,583","0,376"
Standard dev,"1,753624817","0,9333809512","0,8202438662",,"0,07778174593","0,975807358","1,053589104"